x	y 
522.174	485.953
514.902	486.249
507.696	486.533
500.557	486.806
493.490	487.066
486.499	487.312
479.587	487.546
472.758	487.765
466.015	487.970
459.362	488.160
452.802	488.336
446.339	488.498
439.978	488.648
433.720	488.785
427.571	488.912
421.533	489.028
415.610	489.136
409.807	489.234
404.126	489.325
398.570	489.410
393.145	489.488
387.853	489.561
382.698	489.630
377.684	489.696
372.814	489.759
368.091	489.820
363.521	489.881
359.105	489.941
354.848	490.002
350.753	490.063
346.818	490.114
343.044	490.145
339.429	490.145
335.971	490.103
332.671	490.009
329.526	489.851
326.536	489.620
323.700	489.304
321.016	488.893
318.483	488.376
316.101	487.742
313.853	486.997
311.703	486.166
309.615	485.279
307.551	484.361
305.475	483.440
303.348	482.545
301.135	481.702
298.799	480.940
296.341	480.286
293.889	479.772
291.595	479.428
289.611	479.286
288.087	479.377
287.174	479.733
287.015	480.381
287.542	481.307
288.493	482.457
289.601	483.774
290.600	485.200
291.225	486.680
291.396	488.179
291.229	489.684
290.850	491.186
290.386	492.673
289.966	494.136
289.686	495.567
289.559	496.974
289.578	498.365
289.739	499.748
290.034	501.134
290.447	502.526
290.916	503.919
291.376	505.301
291.760	506.665
292.000	508.000
289.000	493.000
794.000	482.000

